FOURTEEN	THIRTEEN	TWELVE	ELEVEN	TEN	NINE	EIGHT	SEVEN	id
75	75	75	75	75	75	75	0	1
75	0	0	0	75	75	75	75	2
75	0	75	0	0	0	0	75	3
0	0	0	0	0	0	0	0	4
0	0	0	75	0	0	0	0	5
0	0	0	0	0	75	0	75	6
0	0	0	0	0	0	0	0	7
75	0	0	0	0	0	0	0	8
0	0	0	0	0	0	0	0	9
0	0	0	75	0	0	0	0	10
0	0	0	0	0	0	0	0	11
0	0	0	0	0	0	0	0	12
0	0	0	0	0	0	0	75	13
0	0	0	0	0	0	0	0	14
0	0	0	0	0	0	0	0	15
0	0	0	0	0	0	0	75	16
0	0	0	0	0	0	0	0	17
0	75	0	0	75	0	0	0	18
0	75	0	0	0	0	0	75	19
0	75	0	0	0	0	0	0	20
0	0	0	0	0	0	0	0	21
0	0	0	0	75	0	0	0	22
0	0	0	75	0	0	0	0	23
0	0	0	0	0	0	75	0	24
0	0	0	0	0	0	0	0	25
0	0	0	0	0	0	0	0	26
0	0	0	0	0	0	0	0	27
0	0	0	0	0	0	0	0	28
0	0	0	0	0	0	0	0	29
0	0	0	0	0	0	0	0	30
0	0	0	0	0	0	75	75	31
0	0	0	0	0	0	75	0	32
0	0	0	0	0	0	0	0	33
0	0	0	0	0	0	0	0	34
0	0	0	0	0	0	0	0	35
75	75	75	75	75	0	0	75	36
75	75	75	75	0	75	75	204	37
75	75	75	75	0	0	75	75	38
75	75	75	75	0	0	75	75	39
75	75	75	75	0	0	75	75	40
75	75	75	75	0	0	75	75	41
75	75	75	75	204	0	75	204	42
75	75	75	75	0	0	75	204	43
75	75	75	75	0	0	75	0	44
75	75	75	75	75	75	75	75	45
75	75	75	75	75	75	75	75	46
75	75	75	75	75	75	75	75	47
75	75	75	75	75	75	75	75	48
75	0	75	75	0	0	0	75	49
75	75	75	75	75	75	75	0	50
75	75	75	75	75	75	75	0	51
75	75	75	75	75	75	75	75	52
75	75	75	75	75	75	75	75	53
75	75	75	75	75	75	75	75	54
75	75	75	75	75	75	75	0	55
